Frequency,Light,Moderate,Heavy,Very Heavy
1,27.5,32.4,35.7,41.3
2,30.9,36.8,40.1,46.2
4,34.3,41.1,44.4,51.2
8,37.7,45.4,48.8,56.1
16,41.1,49.8,53.1,61.1
32,44.6,54.1,57.5,66
62,47.8,58.2,61.8,70.7
66,48.1,58.6,62.1,71.4
70,48.4,58.8,62.4,71.6
76,48.8,59.2,62.8,72
80,49,59.4,63,72.2
86,49.3,59.7,63.3,72.5
90,49.5,59.9,63.5,72.7
96,49.7,60.1,63.7,72.9
100,49.9,60.3,63.9,73.1
110,50.2,60.6,64.2,73.4
120,50.4,60.8,64.4,73.6
130,50.6,61,64.6,73.8
140,50.8,61.2,64.8,74
150,51,61.4,65,74.2
160,51.2,61.6,65.2,74.4
170,51.3,61.7,65.3,74.5
180,51.3,61.7,65.3,74.5
190,51.4,61.8,65.4,74.6
200,51.5,61.9,65.5,74.7
300,52,62.5,66.1,75.3
400,52.2,62.7,66.1,75.7
500,52.4,63,66.1,75.8
600,52.6,63,66.2,75.8
700,52.8,62.8,66.2,75.6
800,52.9,62.7,66.2,75.5
900,52.9,62.7,66.1,75.5
1000,52.9,62.6,66,75.4
2000,51.8,61.7,65.1,74.5
3000,50.8,60.8,64.2,73.6
4000,49.8,59.8,63.2,72.6
5000,49,59,62.4,71.8
6000,48.3,58.3,61.7,71.1
7000,47.7,57.7,61.1,70.5
8000,47.2,57.2,60.6,70
9000,46.7,56.7,60.1,69.5
10000,46.3,56.3,59.7,69.1
20000,43.2,53.2,56.6,66
50200,38.0,48.4,51.6,61.2
100000,34.1,44.8,47.9,57.6