Frequency, 0, 1, 2, 3, 4, 5, 6
1,50.9,57.7,62.2,65,66.7,68.4,70.9
1.25,50.9,57.7,62.2,65,66.7,68.4,70.9
1.6,50.9,57.7,62.2,65,66.7,68.4,70.9
2,50.9,57.7,62.2,65,66.7,68.4,70.9
2.5,50.9,57.7,62.2,65,66.7,68.4,70.9
3.2,50.9,57.7,62.2,65,66.7,68.4,70.9
4,50.9,57.7,62.2,65,66.7,68.4,70.9
5,50.9,57.7,62.2,65,66.7,68.4,70.9
6.4,50.9,57.7,62.2,65,66.7,68.4,70.9
8,50.9,57.7,62.2,65,66.7,68.4,70.9
10,50.9,57.7,62.2,65,66.7,68.4,70.9
12.5,50.9,57.7,62.2,65,66.7,68.4,70.9
16,50.9,57.7,62.2,65,66.7,68.4,70.9
20,50.9,57.7,62.2,65,66.7,68.4,70.9
25,50.9,57.7,62.2,65,66.7,68.4,70.9
32,50.9,57.7,62.2,65,66.7,68.4,70.9
40,50.9,57.7,62.2,65,66.7,68.4,70.9
50,50.9,57.7,62.2,65,66.7,68.4,70.9
64,50.9,57.7,62.2,65,66.7,68.4,70.9
80,50.9,57.7,62.2,65,66.7,68.4,70.9
100,50.9,57.7,62.2,65,66.7,68.4,70.9
125,50.9,57.6,62.2,65,66.7,68.4,70.9
160,50.8,57.5,62.2,65,66.7,68.4,70.9
200,50.6,57.3,62.2,65,66.7,68.4,70.9
250,50.2,57,62.1,65,66.7,68.4,70.9
320,49.7,56.6,61.9,64.9,66.7,68.4,70.9
400,49,56,61.5,64.7,66.6,68.4,70.9
500,48.2,55.4,61.1,64.4,66.4,68.2,70.8
640,47.3,54.7,60.5,63.9,66,67.9,70.5
800,46.1,53.8,59.7,63.2,65.4,67.4,70
1000,44.8,52.9,58.8,62.4,64.7,66.7,69.4
1250,43.4,51.8,57.8,61.5,63.8,65.8,68.5
1600,41.6,50.4,56.5,60.2,62.6,64.6,67.3
2000,39.8,49,55.2,58.9,61.3,63.3,66
2500,38.1,47.4,53.7,57.4,59.8,61.8,64.4
3200,36.2,45.6,51.9,55.7,58,60,62.6
4000,34.3,43.7,50,53.8,56.2,58.1,60.7
5000,32.6,42,48.3,52.1,54.4,56.4,59
6400,30.8,40.2,46.4,50.2,52.6,54.5,57.1
8000,28.9,38.3,44.5,48.3,50.7,52.7,55.3
10000,27.1,36.5,42.8,46.6,48.9,50.9,53.5
12500,25.4,34.8,41,44.8,47.2,49.1,51.7
16000,23.4,32.8,39.1,42.9,45.2,47.2,49.8
20000,21.7,31.1,37.3,41.1,43.5,45.4,48.0
25000,19.9,29.3,35.6,39.4,41.7,43.7,46.3
32000,18.1,27.5,33.7,37.5,39.9,41.9,44.5
40000,16.2,25.6,31.9,35.7,38.0,40.0,42.6
50000,14.4,23.8,30.1,33.9,36.3,38.2,40.8
64000,12.6,22.0,28.3,32.1,34.4,36.4,39.0
80000,10.7,20.1,26.4,30.2,32.6,34.5,37.1
100000,9.0,18.4,24.6,28.4,30.8,32.8,35.4